n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
183841540,17.6959249945,43.2229124531,station,0,,TS Čitluk,,
174309037,17.5485024903,43.1889559238,sub_station,0,,TS Ljubuški,Elekotroprenos BiH,
89827347,17.7697157084,43.3031110745,substation,0,,TS Mostar,,
113758854,18.689411209,45.0296198124,station,0,,TS Orašje,,
113758586,18.7190570762,45.0659507167,station,0,,TS Županja,,
186300569,17.3203405387,43.4667983207,station,0,,Posušje,,
211659900,17.2230557533,43.7168862974,station,0,,TS Tomislavgrad,,
174309034,17.4182901809,43.3726444222,station,0,,,,
229271577,16.8799508471,43.4315150794,station,0,,HE Kraljevac,,
208755421,16.9704896325,43.7104189648,substation,0,,,,
183845277,17.8290369977,43.3723432729,station,0,,,,
185370405,16.3769782809,44.1755015041,station,0,,Bosansko Grahovo,,
185378088,16.2108030409,44.3469322315,station,0,,EVP Ličko Dugo Polje,,
180814019,16.2586650518,44.1698957351,station,0,,EVP Strmica,,
250511837,16.6899258406,44.9925650913,substation,0,,,,
79818891,16.718739694,44.9410435018,generator,0,,Р.Т.С. Трафо,,
129197403,17.2134982857,44.8012197934,substation,0,,,,
398519848,17.2154749706,44.7700693915,substation,0,,TS Banja Luka 2,Elektroprenos BiH,
96704507,16.9136204066,45.4480813159,station,0,,TS Međurić,,
418262298,19.413008404,43.9623126735,substation,0,,,,
87206643,19.4103321991,43.9641395033,generator,0,,ХЕ Бајина Башта,ЕЛЕКТРОПРИВРЕДА СРБИЈЕ,
184631102,18.6063833049,44.481188833,substation,0,,TS Tuzla 4,Elektroprenos BiH,
280904358,18.6058739262,44.5201149764,plant,0,,Termoelektrana Tuzla,,
