l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,315839275,38485068,110000,3,line,50,DV Donji Miholjac - Kisharsany,,21974.0,,,,,
2,60222001,174474431,110000,3,cable,,Andau - Frauenkirchen,,11924.0,,,,,
3,144039427,65034002,120000,6,line,50,-Várpalota - Kincsesbánya/Inota,,27971.0,,,,,Yes
4,144039427,254910050,120000,6,line,50,-Várpalota - Kincsesbánya-Várpalota - Kincsesbánya/Inota-Oroszlány - Mór-Oroszlány - Tatabánya-Mór - Kincsesbánya,,55007.0,,,,,Yes
5,103960070,103952390,120000,6,line,50,-Kasz-Angy I-II,,4542.0,,,,,Yes
6,103960070,252610696,120000,6,line,50,,,2332.0,,,,,Yes
7,103960070,135295847,120000,6,line,50,,,1969.0,,,,,
8,103960070,100863542,120000,6,line,50,,,6691.0,,,,,Yes
9,104011271,103965083,120000,6,line,50,-Dunamenti - Soroksár-Dunavarsány - Soroksár-Soroksár - Kőbánya,,14088.0,,,,,Yes
10,104011271,351270546,120000,6,line,50,-Dunamenti - Soroksár-Dunavarsány - Soroksár,,12939.0,,,,,Yes
11,104011271,223957931,120000,3,line,50,Soroksár - Monor,,27715.0,,,,,
12,104011271,100844170,120000,6,line,50,Ócsa - Soroksár,,7490.0,,,,,Yes
13,104011271,103963492,120000,3,line,50,Soroksár - Pestszentlőrinc,,12232.0,,,,,
14,190281225,175703168,120000,6,line,50,Sümeg - Ajka/Keszthely-Ajka - Sümeg-Ajka - Sümeg- Ajka - Nyirád,,29790.0,,,,,Yes
15,190281225,107894433,120000,6,line,50,-Sümeg - Keszthely-Ajka - Sümeg-Keszthely - Zalaegerszeg-Ajka - Sümeg- Ajka - Nyirád,,86115.0,,,,,Yes
16,190281225,209328058,120000,3,line,50,-Sümeg - Keszthely-Ajka - Sümeg-Keszthely - Zalaegerszeg-Ajka - Sümeg- Ajka - Nyirád,,81776.0,,,,,
17,190281225,243983151,120000,6,line,50,-Sümeg - Keszthely-Ajka - Sümeg-Ajka - Sümeg- Ajka - Nyirád,,54168.0,,,,,Yes
18,190281225,167473416,120000,3,line,50,-Ajka - Sümeg-Ajka - Nyirád-Ajka - Sümeg- Ajka - Nyirád,,16092.0,,,,,
19,190281225,320532045,120000,6,line,50,-Ajka - Sümeg-Ajka - Nyirád-Ajka - Sümeg- Ajka - Nyirád,,1233.0,,,,,Yes
20,299594250,299717539,120000,,line,,,,22185.0,,,,,
21,299594250,301002581,120000,,line,,,,33281.0,,,,,
22,299594250,299717558,120000,,line,,,,19837.0,,,,,
23,167798796,121241890,120000,6,line,50,Csurgó–Nagyatád--Kaposvár - Nagyatád-Kaposvár - Szigetvár,,71817.0,,,,,Yes
24,167798796,31538924,120000,6,line,50,Csurgó–Nagyatád--Kaposvár–Nagyatád és Szigetvár-Kaposvár - Nagyatád,,41342.0,,,,,Yes
25,167798796,244495956,120000,6,line,50,Csurgó–Nagyatád--Csurgó - Nagyatád-Nagykanizsa/Nagyatád - Csurgó,,24884.0,,,,,Yes
26,167798796,203404634,120000,6,line,50,Csurgó–Nagyatád--Csurgó - Nagyatád-Nagykanizsa - Csurgó,,55077.0,,,,,Yes
27,254851597,254847446,120000,6,line,50,,,1708.0,,,,,Yes
