n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
176029697,32.6096447405,60.0378602411,substation,0,,,,
169809022,32.6269139911,60.1311054283,substation,0,,,,
144965635,14.9641065358,51.1657795416,substation,110000,,Umspannwerk Görlitz,,
140386222,14.976023082,51.0898687956,substation,110000,50,Umspannwerk Deutsch Ossig,,
74155827,14.841784709,51.3027953785,substation,110000,50,Umspannwerk Niesky,eon,
98621233,14.1186009857,51.2620438198,substation,110000,50,,,
142267182,14.6077112272,51.2635582329,substation,110000,50,,,
25788423,6.85738626115,51.6792524957,substation,110000,,Station Schermbeck,RWE,
97949456,6.42229572393,51.8134836193,substation,110000,,Station Millingen,RWE,
92314579,6.21146998316,51.8476829799,substation,110000,,Station Hüthum,RWE,
135627985,6.2784909545,51.8334439333,substation,110000,,Löwenberg,RWE,
105662953,6.4990473327,51.7487204054,substation,110000;15000,16.7,Unterwerk Mehrhoog,DB_Energie,
54411776,6.46096503593,51.7149994315,substation,110000,,Station Mehr,RWE,
23084417,6.22183149095,51.6946456456,substation,220000;110000,,Station Pfalzdorf,RWE,
33647679,6.30101489338,51.7303030921,substation,110000,,Station Monreberg,RWE,
34122030,6.44072930685,51.6616195618,substation,110000,,Station Xanten,,
97949455,6.42063150747,51.7663839812,substation,110000,,Station Rees,RWE,
178664497,6.60221486481,51.72956348,substation,110000,,Station Hamminkeln,RWE,
24462426,6.68078100207,51.6463022155,substation,380000;220000;110000,,Station Niederrhein,RWE,
25091074,6.95245264153,51.6322113497,substation,110000,16.7,Schaltwerk Kirchhellen,DB_Energie,
175996936,15.7913757427,53.526535252,substation,0,,"Stacja elektroenergetyczna 110kV ""Drawsko Pomorskie""",,
175996215,15.5574262768,53.5466380969,substation,0,,"Stacja elektroenergetyczna 110kV ""Węgorzyno""",,
278911050,16.0105004462,53.5449563902,substation,0,,"Stacja elektroenergetyczna 110kV ""Złocieniec""",,
146735116,9.40967388987,50.3000531894,station,0,,Umspannwerk Bad Soden,ÜWAG,
40382025,9.54009824978,50.3533621338,substation,110000,50,,,
145628245,9.29432720701,50.2361381957,station,0,,Umspannwerk Wächtersbach,E.on Netz,
40796173,10.1458764474,49.7117645791,station,110000,,Umspannwerk Marktsteft,,
24762015,10.2554970998,49.6934173775,substation,110000,50,Umspannwerk Iphofen,,
24727406,10.9429159783,49.4274535752,substation,110000,50,Umspannwerk Zirndorf,,
30083806,11.0082113887,49.4193593942,substation,110000,50,,,
128618461,10.1810496971,49.7407973687,station,110000,,,,
30239842,10.0149155928,49.7919706033,station,110000,,Umspannwerk Rottendorf,,
133164641,10.1851077948,49.5263650781,substation,0,,Umspannwerk Wallmersbach,,
153092111,18.6647618489,50.0568237648,substation,0,,"Stacja elektroenergetyczna ""Folwarki"" 110kV",,
184734669,18.6131203936,50.0563700903,substation,0,,"Stacja elektroenergetyczna ""Kłokocińska"" 110kV",,
153150734,18.70713195,50.0564300091,substation,0,,"Stacja elektroenergetyczna ""Żory"" 110kV",,
153150724,18.6671388048,50.0554943255,substation,0,,,,
286556186,23.0402875583,51.307409808,substation,0,,"Stacja elektroenergetyczna 110kV ""Stefanów""",,
167790829,22.9364929382,51.1760424643,substation,0,,"Stacja elektroenergetyczna 110kV ""Biskupice""",,
