l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,124878849,181284049,132000,3,line,,,,25868.0,,,,,
2,124878849,182198751,132000,6,line,,,,6207.0,,,,,
3,124878849,87406815,132000,,line,,,,4042.0,,,,,
4,204871682,182408147,132000,3,line,,,,50124.0,,,,,
5,217876485,262586375,132000,6,line,,,,26206.0,,,,,Yes
6,217876485,217836416,132000,6,line,,,,9870.0,,,,,Yes
7,217876485,103079596,132000,6,line,,,,24532.0,,,,,Yes
8,200232961,374036050,132000,3,line,,,,62.0,,,,,
9,262586376,216883221,132000,3,line,,,,20009.0,,,,,
10,262586376,262480226,132000,3,line,,,,18086.0,,,,,
11,203810831,203810835,132000,3,line,,,,12314.0,,,,,
12,203810831,203810838,132000,3,line,,,,12173.0,,,,,
13,89567252,30878888,132000,6,line,,,,6353.0,,,,,Yes
14,216883221,261323027,132000,3,line,,,,2661.0,,,,,
15,84197405,84272553,132000,6,line,,,,2996.0,,,,,
16,84197405,84197284,132000,6,line,,,,5206.0,,,,,Yes
17,84197405,84197350,132000,6,line,,,,5518.0,,,,,
18,84197405,84198444,132000,6,line,,Kwagga - De Hoewes - Njala 132kV transmission line,Tshwane Electricity,1696.0,,,,,
19,84197405,418863865,132000,6,line,,,,4960.0,,,,,
20,198236192,454513842,132000,6,line,,,,17044.0,,,,,Yes
21,198236192,167540668,132000,6,line,,,,56685.0,,,,,Yes
22,183752737,215330124,132000,3,line,,,,30675.0,,,,,
23,183752737,131706120,132000,6,line,,,,30996.0,,,,,Yes
24,107673634,107431792,132000,3,line,,,,85251.0,,,,,
25,107673634,107669638,132000,3,line,,,,42122.0,,,,,
26,223070244,138280477,132000,3,line,,,,1401.0,,,,,
27,455086120,244221119,132000,6,line,,,,17832.0,,,,,Yes
28,455086120,248388707,132000,6,line,,,,19690.0,,,,,Yes
29,262586375,103079596,132000,3,line,,,,11328.0,,,,,
30,223070254,138280477,132000,3,line,,,,13992.0,,,,,
31,223070254,209979784,132000,3,line,,,,24074.0,,,,,
32,136695855,216527763,132000,3,line,,,,3167.0,,,,,
33,136695855,216527758,132000,,line,,,,497.0,,,,,
34,456151095,456151098,132000,6,line,,,Ethekwini Electricity,660.0,,,,,Yes
35,200757306,414118362,132000,3,line,,,,4093.0,,,,,
36,200757306,428763360,132000,3,line,,,,39839.0,,,,,
37,200757306,414452059,132000,3,line,,,,4222.0,,,,,
38,456151099,456151098,132000,3,line,,,,37.0,,,,,
39,168366144,168366146,132000,3,line,,,,22438.0,,,,,
