l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,463732743,463732742,115000,6,line,60,,,12118.0,,,,,Yes
2,463732743,461044981,115000,6,line,60,,,7093.0,,,,,Yes
3,463732743,463732641,115000,6,line,60,,,66464.0,,,,,Yes
4,463732743,463732745,115000,6,line,60,,,48398.0,,,,,Yes
5,463732743,463732690,115000,6,line,60,,,36377.0,,,,,Yes
6,463732743,461048937,115000,6,line,60,,,23428.0,,,,,Yes
7,463732743,313517717,115000,6,line,60,,,51490.0,,,,,Yes
8,463732743,463732667,115000,6,line,60,,,75869.0,,,,,Yes
9,463732743,174856780,115000,6,line,60,,,102146.0,,,,,Yes
10,463732743,463732673,115000,6,line,60,,,73101.0,,,,,Yes
11,463732743,463732651,115000,6,line,60,,,41274.0,,,,,Yes
12,463732743,463732683,115000,6,line,60,,,37608.0,,,,,Yes
13,463732743,463732680,115000,6,line,60,,,33588.0,,,,,Yes
14,463732744,463732742,115000,3,line,60,,,1309.0,,,,,
15,463732746,463732749,115000,3,line,60,,,2013.0,,,,,
16,463732748,463732749,115000,3,line,60,,,70.0,,,,,
17,463732749,463732750,115000,6,line,60,,,8352.0,,,,,Yes
18,463732749,463732654,115000,3,line,60,,,11574.0,,,,,
19,463732749,182489504,115000,3,line,60,,,33812.0,,,,,
20,463732751,463732622,115000,6,line,60,,,33662.0,,,,,Yes
21,463732751,463732742,115000,6,line,60,,,39522.0,,,,,Yes
22,463732751,463732754,115000,3,line,60,,,25068.0,,,,,
23,464627801,464627792,115000,6,line,60,,,41940.0,,,,,Yes
24,464627801,464627794,115000,6,line,60,,,13933.0,,,,,Yes
25,464627801,171805483,115000,3,line,60,,,25434.0,,,,,
26,461055515,174856795,115000,3,line,60,,,28563.0,,,,,
27,461055515,463732741,115000,3,line,60,,,48303.0,,,,,
28,461055515,461040874,115000,3,line,60,,,16337.0,,,,,
29,178257499,178921426,115000,6,line,60,,,3810.0,,,,,Yes
30,178257499,179241756,115000,6,line,60,,,3622.0,,,,,Yes
31,178257499,460593349,115000,6,line,60,,,8469.0,,,,,Yes
32,463732772,463732777,115000,3,line,60,,,14567.0,,,,,
33,463732772,178921426,115000,3,line,60,,,16463.0,,,,,
34,463732772,183504247,115000,6,line,60,,,12658.0,,,,,Yes
35,463732772,460593125,115000,6,line,60,,,13516.0,,,,,Yes
36,463732772,463732788,115000,6,line,60,,,16510.0,,,,,Yes
37,463732772,293766569,115000,6,line,60,,,18405.0,,,,,Yes
38,463732772,460593121,115000,6,line,60,,,21726.0,,,,,Yes
39,463732772,463732810,115000,6,line,60,,,15192.0,,,,,Yes
40,460593203,460593121,115000,3,line,60,,,6649.0,,,,,
41,460593203,404436474,115000,6,line,60,,,5007.0,,,,,Yes
42,460593203,183504801,115000,6,line,60,,,3611.0,,,,,Yes
43,460593203,174868350,115000,9,line,60,,,6631.0,,,,,Yes
44,463732792,178921426,115000,3,line,60,,,3498.0,,,,,
45,463732792,293766569,115000,3,line,60,,,5624.0,,,,,
46,449785915,449789558,115000,3,line,60,,,36145.0,,,,,
47,449785915,140355580,115000,6,line,60,,,5183.0,,,,,Yes
48,449785915,140355542,115000,9,line,60,,,3469.0,,,,,Yes
49,449785915,464627863,115000,3,line,60,,,58876.0,,,,,
50,449785915,449785250,115000,3,line,60,,,77150.0,,,,,
51,174856780,464627906,230000,6,line,60,,,6476.0,,,,,Yes
52,174856780,174856795,230000,6,line,60,,,21314.0,,,,,Yes
53,174856780,174856790,115000,6,line,60,,,2007.0,,,,,Yes
54,174856780,449785250,115000,3,line,60,,,46878.0,,,,,
55,174856780,464627866,115000,3,line,60,,,22417.0,,,,,
56,174856780,449789554,115000,3,line,60,,,16508.0,,,,,
57,464627792,464627800,115000,3,line,60,,,13616.0,,,,,
58,174856790,449788914,115000,3,line,60,,,1794.0,,,,,
59,464627800,463732629,115000,3,line,60,,,28582.0,,,,,
60,464627800,463732504,115000,6,line,60,,,63756.0,,,,,Yes
61,464627800,182489504,115000,3,line,60,,,75619.0,,,,,
62,464627800,449784691,115000,6,line,60,,,23826.0,,,,,Yes
63,463732825,460593349,115000,6,line,60,,,6935.0,,,,,Yes
64,460593245,178921426,115000,3,line,60,,,4191.0,,,,,
65,460593245,173382515,115000,3,line,60,,,13782.0,,,,,
66,464627812,464627682,115000,3,line,60,,,11453.0,,,,,
67,449789554,449789558,115000,3,line,60,,,18725.0,,,,,
68,464627857,449785250,115000,3,line,60,,,27308.0,,,,,
69,464627857,346979598,115000,3,line,60,,,26491.0,,,,,
70,464627857,147426018,115000,6,line,60,,,19349.0,,,,,Yes
71,313517717,182489504,115000,3,line,60,,,17661.0,,,,,
72,313517717,463732629,115000,3,line,60,,,32537.0,,,,,
