n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
79671040,-114.994032253,35.7900454175,sub_station,0,,,,
79671032,-115.012941025,35.8039244155,substation,0,,McCullough Substation,,
62315137,-115.00848001,35.7973238405,substation,0,,Eldorado Substation,,
233812416,-115.468970309,35.5443771176,substation,0,,,,
79734755,-114.834686485,35.9278066976,substation,0,,Mead,barrier,
163043221,-114.807323679,39.3365506772,substation,0,,Gonder Substation,,
166195685,-119.131418415,39.1305816391,sub_station,0,,,,
166020018,-115.011453197,39.2651826307,substation,0,,,,
106522436,-114.99885608,36.0383870423,station,0,,,,
188303069,-114.995752849,36.0410818483,station,0,,,,
188303070,-115.003411334,36.0401212074,station,0,,,,
188303072,-114.998055049,36.0404460878,station,0,,,,
82362021,-115.031278704,36.0355127191,station,0,,,,
79801819,-114.975597517,35.9866706553,sub_station,0,,,,
79875883,-115.356792392,35.6148798327,sub_station,0,,,,
166551121,-115.213355788,36.0084466435,sub_station,0,,Arden Substation,,
80179099,-115.356912785,35.6137683582,generator,0,,Bighorn Generating Station,,
71837876,-114.904113568,36.4254010331,substation,0,,,,
87806744,-114.632905593,36.6571590701,generator,0,,Reid Gardner Station,,
71834330,-114.830307006,36.482245429,station,0,,,,
130771397,-115.096302522,36.2746634381,substation,0,,Pecos Substation,,
166551122,-115.208232937,36.3225809909,sub_station,0,,Iron Mountain Substation,,
182649012,-115.282595874,36.0861713005,sub_station,0,,,,
182648957,-115.344630444,36.1826528069,substation,0,,,,
166273599,-117.335805257,38.3239319113,sub_station,0,,Anaconda Moly Substation,,
166195683,-116.859167292,39.5059879613,sub_station,0,,Frontier Substation,,
64083268,-114.966757552,34.8448897121,station,0,,,,
87886534,-114.635490543,36.6572130502,sub_station,0,,,,
87886532,-114.608062804,36.681210587,substation,0,,,,
188301767,-115.211067952,36.0564178413,station,0,,,,
79792338,-114.79600347,35.9792934519,sub_station,0,,,,
75355478,-114.565522561,35.1947617213,substation,0,,,,
79792360,-114.743302237,36.0159993149,station,0,,,,
79792367,-114.743101865,36.0178808371,station,0,,,,
166551123,-115.330005061,36.3344700157,sub_station,0,,Northwest Substation,,
163145505,-120.004203413,39.6560584561,substation,0,,,,
163145501,-119.974143408,40.0748880583,sub_station,0,,Fort Sage Substation,,
58756194,-119.806545222,39.5582751544,sub_station,0,,,,
90091915,-119.518864158,39.5631125734,substation,0,,,,
90091940,-119.515362148,39.5574237994,substation,0,,,,
162931685,-116.495248927,40.8160200559,substation,0,,Falcon Substation,,
162931414,-117.152805641,40.8785848562,substation,0,,Valmy Station,,
392184987,-119.528368086,39.5610546354,substation,0,,,,
170295877,-119.71747295,39.4556314611,substation,0,,Mira Loma Substation,,
162931413,-116.423439055,41.0946735254,substation,0,,Coyote Creek Substation,,
162934426,-115.939962962,41.2272756732,substation,0,,,,
75355429,-114.595337551,35.1470056711,substation,0,,,Southern California Edison,
106529346,-114.961297774,36.4115959282,substation,0,,,,
398602696,-114.960179585,36.416153847,plant,0,,Apex Generating Station,,
79671026,-115.011267067,35.8192348525,substation,0,,Marketplace Substation,,
71837877,-114.909172743,36.4293386955,substation,0,,,,
87806732,-114.921655293,36.3819311422,substation,0,,,,
374247112,-115.169599932,39.3575155275,substation,0,,,,
87806757,-114.901820333,36.4307754919,plant,0,,Harry Allen Generating Station,,
106529349,-114.959020445,36.4159013551,substation,0,,,,
