l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,448067074,138389969,115000,6,line,60,,Meralco,3773.0,,,,,Yes
2,82869523,98436507,115000,,line,60,,Meralco,2709.0,,,,,
3,149824921,95093735,115000,3,line,60,,Meralco,12840.0,,,,,
4,33513979,62214652,115000,3,line,60,,Meralco,12221.0,,,,,
5,278209424,141727571,138000,6,line,60,,National Grid Corporation of the Philippines,2411.0,,,,,
6,106994179,437059220,138000,3,line,,,National Grid Corporation of the Philippines,87.0,,,,,
7,53588965,281402423,138000,,line,,,,30358.0,,,,,
8,53588965,281402425,138000,,line,,Bacolod - Kabankalan Transmission Line,,69967.0,,,,,
9,222760842,222762510,138000,6,line,60,,National Grid Corporation of the Philippines,16571.0,,,,,
10,141725296,141727571,138000,3,line,60,,National Grid Corporation of the Philippines,5721.0,,,,,
11,141727571,401263861,138000,6,line,60,,National Grid Corporation of the Philippines,14604.0,,,,,
12,141727571,141913267,138000,6,line,60,,National Grid Corporation of the Philippines,1811.0,,,,,
13,141727571,141725300,138000,6,line,60,,National Grid Corporation of the Philippines,3583.0,,,,,Yes
14,449725865,142871259,138000,3,line,60,,National Grid Corporation of the Philippines,56.0,,,,,
15,449725899,142871259,138000,6,line,60,,National Grid Corporation of the Philippines,6591.0,,,,,
16,157339625,247293435,220000,6,line,,,,4641.0,,,,,Yes
17,157339625,193890454,220000,6,line,,,,24965.0,,,,,Yes
18,210354452,210354249,220000,,line,,,,76.0,,,,,
19,247293435,430461774,220000,6,line,,,,90894.0,,,,,Yes
20,116779906,98289364,230000,12,line,,,,8551.0,,,,,
21,116779906,98564119,230000,12,line,60,,National Grid Corporation of the Philippines,31910.0,,,,,Yes
22,116779906,62214652,230000,12,line,,,,18676.0,,,,,
23,239879814,232660843,230000,6,line,60,,National Grid Corporation of the Philippines,54901.0,,,,,
24,109694345,250027676,230000,6,line,60,-Hermosa - BTPP Transmission Line,National Grid Corporation of the Philippines,40836.0,,,,,Yes
25,109694345,102135259,230000,6,line,60,,National Grid Corporation of the Philippines,34795.0,,,,,Yes
26,98564119,90992537,230000,6,line,60,,National Grid Corporation of the Philippines,33840.0,,,,,Yes
27,98564119,116428225,230000,3,line,60,,,1663.0,,,,,
28,98564119,99286335,230000,6,line,60,,National Grid Corporation of the Philippines,35244.0,,,,,Yes
29,315261197,97533269,230000,6,line,60,,National Grid Corporation of the Philippines,36802.0,,,,,Yes
