l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,368755200,368953721,110000,3,line,,,,53125.0,,,,,
2,237429388,207622456,110000,3,line,,,,65257.0,,,,,
3,366206936,326539574,110000,3,line,50,,,64202.0,,,,,
4,146255135,178414889,110000,6,line,,,,13742.0,,,,,Yes
5,448567712,261448778,110000,6,line,,,,56228.0,,,,,Yes
6,197730465,451381345,110000,3,line,,,,96958.0,,,,,
7,178414889,237426783,110000,3,line,,,,116842.0,,,,,
8,178414889,237426750,110000,6,line,,,,114586.0,,,,,Yes
9,178414889,179151463,110000,6,line,,,,34983.0,,,,,Yes
10,178414889,236483815,110000,6,line,,,,10947.0,,,,,Yes
11,178414889,223133126,110000,6,line,,,,14765.0,,,,,Yes
12,178410544,98282348,110000,6,line,,,,12220.0,,,,,Yes
13,178410544,217505507,110000,6,line,,,,21232.0,,,,,Yes
14,366537906,219094604,110000,,line,,,,87737.0,,,,,
15,266433716,179856837,110000,,line,,,EdM,1810.0,,,,,
16,207622456,451381345,110000,3,line,,,,70765.0,,,,,
17,179859644,389131994,110000,,line,,,,95528.0,,,,,
18,261448778,261467762,110000,3,line,,,,65876.0,,,,,
19,261448778,237074961,110000,6,line,,,,10194.0,,,,,Yes
20,261448778,237070026,110000,3,line,,,,97358.0,,,,,
21,223133126,98282348,110000,6,line,,,,4660.0,,,,,Yes
22,223133126,236873577,110000,6,line,,,,1117.0,,,,,Yes
23,219094604,311076200,110000,,line,,,,24656.0,,,,,
24,164064600,236483815,110000,6,line,,,,11119.0,,,,,Yes
25,217505507,179151461,110000,6,line,,,,10826.0,,,,,Yes
26,237435108,237426750,110000,6,line,,,,6144.0,,,,,Yes
27,179151461,236479226,110000,6,line,,,,9602.0,,,,,Yes
28,179151462,236483815,110000,6,line,,,,35636.0,,,,,Yes
29,179151464,230613096,110000,12,line,,,,16033.0,,,,,Yes
30,194104682,368953723,110000,3,line,,,,105084.0,,,,,
31,230613096,236479226,110000,6,line,,,,6133.0,,,,,Yes
32,368953721,368953723,110000,3,line,,,,48582.0,,,,,
33,217978751,224116041,120000,3,line,,,,23363.0,,,,,
34,224116041,456237751,120000,,line,,,,4431.0,,,,,
35,218072923,218072927,120000,,line,,,,7525.0,,,,,
36,124878849,181284049,132000,3,line,,,,25868.0,,,,,
37,124878849,182198751,132000,6,line,,,,6207.0,,,,,
38,124878849,87406815,132000,,line,,,,4042.0,,,,,
39,204871682,182408147,132000,3,line,,,,50124.0,,,,,
40,217876485,262586375,132000,6,line,,,,26206.0,,,,,Yes
41,217876485,217836416,132000,6,line,,,,9870.0,,,,,Yes
42,217876485,103079596,132000,6,line,,,,24532.0,,,,,Yes
43,200232961,374036050,132000,3,line,,,,62.0,,,,,
44,262586376,216883221,132000,3,line,,,,20009.0,,,,,
45,262586376,262480226,132000,3,line,,,,18086.0,,,,,
46,180604941,180461636,132000,6,line,,,,12033.0,,,,,Yes
47,180604941,342271873,132000,3,line,,,,67168.0,,,,,
48,180604941,291446587,132000,3,line,,,,15854.0,,,,,
49,203810831,203810835,132000,3,line,,,,12314.0,,,,,
50,203810831,203810838,132000,3,line,,,,12173.0,,,,,
51,89567252,30878888,132000,6,line,,,,6353.0,,,,,Yes
52,216883221,261323027,132000,3,line,,,,2661.0,,,,,
53,84197405,84272553,132000,6,line,,,,2996.0,,,,,
54,84197405,418863865,132000,6,line,,,,4960.0,,,,,
55,84197405,84197284,132000,6,line,,,,5206.0,,,,,Yes
56,84197405,84197350,132000,6,line,,,,5518.0,,,,,
57,84197405,84198444,132000,6,line,,Kwagga - De Hoewes - Njala 132kV transmission line,Tshwane Electricity,1696.0,,,,,
58,198236192,454513842,132000,6,line,,,,17044.0,,,,,Yes
59,198236192,167540668,132000,6,line,,,,56685.0,,,,,Yes
60,183752737,215330124,132000,3,line,,,,30675.0,,,,,
61,183752737,131706120,132000,6,line,,,,30996.0,,,,,Yes
62,107673634,107431792,132000,3,line,,,,85251.0,,,,,
63,107673634,107669638,132000,3,line,,,,42122.0,,,,,
64,223070244,138280477,132000,3,line,,,,1401.0,,,,,
65,455086120,244221119,132000,6,line,,,,17832.0,,,,,Yes
66,455086120,248388707,132000,6,line,,,,19690.0,,,,,Yes
67,262586375,103079596,132000,3,line,,,,11328.0,,,,,
68,223070254,138280477,132000,3,line,,,,13992.0,,,,,
69,223070254,209979784,132000,3,line,,,,24074.0,,,,,
70,136695855,216527763,132000,3,line,,,,3167.0,,,,,
71,136695855,216527758,132000,,line,,,,497.0,,,,,
72,171417653,171416196,132000,6,line,,,,33261.0,,,,,Yes
73,182691895,182691920,132000,3,line,,,,69593.0,,,,,
74,200757306,414118362,132000,3,line,,,,4093.0,,,,,
75,200757306,428763360,132000,3,line,,,,39839.0,,,,,
76,200757306,414452059,132000,3,line,,,,4222.0,,,,,
77,456151099,456151098,132000,3,line,,,,37.0,,,,,
78,168366144,168366146,132000,3,line,,,,22438.0,,,,,
79,168366144,88874683,132000,3,line,,,,27815.0,,,,,
80,168366146,88446823,132000,3,line,,,,30935.0,,,,,
81,201900101,201900100,132000,3,line,,,,30194.0,,,,,
82,223146054,177209321,132000,6,line,,,,18913.0,,,,,
83,223146054,172341413,132000,6,line,,,,20646.0,,,,,Yes
84,262480226,262480220,132000,3,line,,,,19091.0,,,,,
85,136051725,93158442,132000,3,line,,,,9855.0,,,,,
86,263541774,117393191,132000,6,line,,,,11159.0,,,,,Yes
87,197867606,179679495,132000,3,line,,,NamPower,103375.0,,,,,
88,262586383,102722752,132000,,line,,,,7389.0,,,,,
89,262586383,179274906,132000,,line,,,,3865.0,,,,,
90,181000288,180998541,132000,3,line,,,,32236.0,,,,,
91,263541777,117393191,132000,6,line,,,,5070.0,,,,,Yes
92,243351664,244221119,132000,6,line,,,,30979.0,,,,,Yes
93,179509364,262724531,132000,,line,,,,9636.0,,,,,
94,179509364,179516901,132000,,line,,,,8019.0,,,,,
95,171028597,171059868,132000,6,line,50,-Tororo_to_Jinja Line,,16142.0,,,,,Yes
96,214792573,221662248,132000,6,line,,,,4693.0,,,,,Yes
97,214792573,221662250,132000,6,line,,,Tshwane Electricity,762.0,,,,,
98,214792573,244630083,132000,6,line,,,Tshwane Electricity,6041.0,,,,,
99,214792573,221662249,132000,6,line,,,Tshwane Electricity,6922.0,,,,,
100,188809339,183919483,132000,3,line,,,,3718.0,,,,,
101,180494460,207991752,132000,3,line,,,,35539.0,,,,,
102,226957439,259658602,132000,3,line,,,,18369.0,,,,,
103,226957439,218416110,132000,3,line,,,,13531.0,,,,,
104,107669635,107493834,132000,3,line,,,,2624.0,,,,,
105,230445204,107937170,132000,3,line,,,,21631.0,,,,,
106,100686191,100686200,132000,3,line,,,,1809.0,,,,,
107,90267810,90137773,132000,6,line,,,,6482.0,,,,,
108,172341412,172341413,132000,6,line,,,,3117.0,,,,,Yes
109,172341412,172470451,132000,6,line,,,,27158.0,,,,,Yes
110,172341413,172334367,132000,6,line,,,,14356.0,,,,,Yes
111,83247270,239878601,132000,6,line,,,,6921.0,,,,,Yes
112,83247270,213573238,132000,6,line,,,,3598.0,,,,,Yes
113,90267817,90137773,132000,,line,,,,9607.0,,,,,
114,207923370,203830030,132000,3,line,,,,51517.0,,,,,
115,207923370,190922522,132000,3,line,,,,83775.0,,,,,
116,303483591,304437004,132000,3,line,,,,97845.0,,,,,
117,83951788,84009581,132000,3,line,,,,13059.0,,,,,
118,83951788,83990886,132000,6,line,,,,15493.0,,,,,Yes
119,83951788,83537732,132000,3,line,,,,48708.0,,,,,
120,180623536,180619166,132000,3,line,,,,96792.0,,,,,
121,172470451,172839368,132000,6,line,,,,28576.0,,,,,Yes
122,84830388,70586039,132000,6,line,,,,10527.0,,,,,Yes
123,84830388,84830394,132000,6,line,,,,7375.0,,,,,Yes
124,84830388,84830391,132000,6,line,,,,1609.0,,,,,Yes
125,84830388,178983951,132000,3,line,,,,30088.0,,,,,
126,84830388,84861391,132000,3,line,,,,10330.0,,,,,
127,84830388,191290146,132000,3,line,,,,16914.0,,,,,
128,148830396,169719204,132000,3,line,,,,79816.0,,,,,
129,148830396,243350095,132000,3,line,,,,32340.0,,,,,
130,148830396,243463028,132000,3,line,,,,39783.0,,,,,
131,456092104,456092093,132000,6,line,,,Eskom KwaZulu-Natal-Eskom KwaZulu Natal,63946.0,,,,,Yes
132,456092104,456092088,132000,6,line,,,Eskom KwaZulu-Natal-Eskom KwaZulu Natal,50069.0,,,,,Yes
133,456092104,207991752,132000,6,line,,-Eros - Oribi 132kV transmission line,Eskom KwaZulu-Natal,53689.0,,,,,Yes
134,455303885,149126524,132000,3,line,,,,5007.0,,,,,
135,91979987,103754184,132000,3,line,,,,1967.0,,,,,
136,230637780,112984533,132000,6,line,,,,4078.0,,,,,
137,230637780,219224144,132000,6,line,,,,14150.0,,,,,Yes
138,227721252,179679495,132000,3,line,,,,94470.0,,,,,
139,91979994,258694132,132000,3,line,,,,28943.0,,,,,
140,91979994,183615847,132000,6,line,,,,11652.0,,,,,Yes
141,91979994,171699035,132000,6,line,,,,143798.0,,,,,Yes
142,91979995,169667549,132000,6,line,,,,11975.0,,,,,Yes
143,91979995,91980007,132000,6,line,,,,24259.0,,,,,Yes
144,91979996,91980013,132000,3,line,,,,2780.0,,,,,
145,91979997,183615847,132000,3,line,,,,1041.0,,,,,
146,30417958,304437004,132000,3,line,,,,97620.0,,,,,
147,91980007,183615847,132000,6,line,,,,12625.0,,,,,Yes
148,88862959,261058910,132000,3,line,,,,33490.0,,,,,
149,88862959,261058924,132000,3,line,,,,34038.0,,,,,
150,185768178,262480232,132000,3,line,,,,16233.0,,,,,
151,185768178,102925909,132000,,line,,,,14589.0,,,,,
152,214401269,214401255,132000,3,line,,,,4956.0,,,,,
153,214401269,191269219,132000,3,line,,,,20027.0,,,,,
154,142414070,261058910,132000,3,line,,,,29909.0,,,,,
155,142414070,142414074,132000,3,line,,,,15696.0,,,,,
156,142414070,242717736,132000,3,line,,,,3764.0,,,,,
157,214401271,191269219,132000,3,line,,,,12747.0,,,,,
158,214401271,224181013,132000,3,line,,,,49318.0,,,,,
159,89639160,89637370,132000,3,line,,,,24030.0,,,,,
160,89639160,107936613,132000,3,line,,,,26120.0,,,,,
161,142414074,108192592,132000,3,line,,,,28866.0,,,,,
162,221662250,84571572,132000,6,line,,,Tshwane Electricity,2700.0,,,,,
163,256646213,218416110,132000,3,line,,,,7318.0,,,,,
164,256646213,256646215,132000,3,line,,,,2866.0,,,,,
165,83945728,83945972,132000,3,line,,,,5275.0,,,,,
166,221662252,221662255,132000,3,line,,,,3516.0,,,,,
167,230551819,230496819,132000,3,line,,,,90800.0,,,,,
168,230551819,184212847,132000,3,line,,,,53560.0,,,,,
169,203678082,148931382,132000,3,line,,,,10929.0,,,,,
170,203678082,203678083,132000,3,line,,,,1481.0,,,,,
171,203678082,205848113,132000,3,line,,,,39521.0,,,,,
172,189487374,189487379,132000,6,line,,,Ethekwini Electricity,2805.0,,,,,
173,446726415,220079546,132000,6,line,,,,9347.0,,,,,
174,446726415,120584910,132000,6,line,,,Eskom,18361.0,,,,,
175,189487376,188604963,132000,6,line,,,Ethekwini Electricity,8597.0,,,,,
176,189487379,144843498,132000,6,line,,,Ethekwini Electricity,3235.0,,,,,
177,189487379,184187955,132000,3,line,,,Ethekwini Electricity,11107.0,,,,,
178,189487379,454917342,132000,6,line,,,Ethekwini Electricity,465.0,,,,,
179,261323028,261469203,132000,3,line,,,,17519.0,,,,,
180,261323028,261323027,132000,3,line,,,,18700.0,,,,,
181,256088343,100402286,132000,3,line,,,,37161.0,,,,,
182,256088343,101712929,132000,3,line,,,,33503.0,,,,,
183,256088343,180751865,132000,3,line,,,,97821.0,,,,,
184,230551832,230496819,132000,3,line,,,Botswana Power,13413.0,,,,,
185,214434075,191269218,132000,3,line,,,,23325.0,,,,,
186,100421918,100421924,132000,3,line,,,,13327.0,,,,,
187,100421918,100421922,132000,3,line,,,,9376.0,,,,,
188,100421919,153266073,132000,3,line,,,,87789.0,,,,,
189,62193952,454846435,132000,6,line,,-Acacia - Montague Gardens 132kV,,3450.0,,,,,Yes
190,62193952,62208493,132000,3,line,,Acacia - Plattekloof,,3506.0,,,,,
191,100421922,224181014,132000,,line,,,,16839.0,,,,,
192,414445309,414452059,132000,9,cable,,,,1069.0,,,,,
193,100421924,214401255,132000,3,line,,,,19979.0,,,,,
194,194416935,172295139,132000,6,line,,,,64794.0,,,,,
195,87893727,111430895,132000,3,line,,,,24664.0,,,,,
196,337437734,454492684,132000,,line,,,,16313.0,,,,,
197,337437734,263390382,132000,,line,,,,3184.0,,,,,
198,185153858,262495875,132000,3,line,,,,25924.0,,,,,
199,185153858,363822972,132000,3,line,,,,13838.0,,,,,
200,177109317,177038903,132000,6,line,,,,24782.0,,,,,Yes
201,456151095,456151098,132000,6,line,,,Ethekwini Electricity,660.0,,,,,Yes
202,207915342,184336448,132000,,line,,,,89372.0,,,,,
203,242717736,170032133,132000,3,line,,,,31049.0,,,,,
204,169722202,169848807,132000,6,line,,,,49217.0,,,,,
205,169722202,169848809,132000,6,line,,,,51168.0,,,,,
206,262480220,262480224,132000,3,line,,,,17084.0,,,,,
207,214792541,47125426,132000,6,line,,,Tshwane Electricity,5918.0,,,,,
208,214792541,455498147,132000,6,line,,,Tshwane Electricity,9544.0,,,,,Yes
209,262480224,262480232,132000,3,line,,,,1881.0,,,,,
210,191269218,191269219,132000,3,line,,,,954.0,,,,,
211,83990886,232394627,132000,6,line,,,,6372.0,,,,,Yes
212,261058924,92171277,132000,3,line,,,,32106.0,,,,,
213,90454383,90456527,132000,3,line,,,,16465.0,,,,,
214,426825819,102788377,132000,6,line,,,,66406.0,,,,,Yes
215,426825819,426998273,132000,6,line,,,,115983.0,,,,,
216,426825819,219583075,132000,6,line,,,,2139.0,,,,,
217,99596662,89173871,132000,3,line,,,,35283.0,,,,,
218,100686200,249130530,132000,3,line,,,,5008.0,,,,,
219,177205637,182408147,132000,3,line,,,,5897.0,,,,,
220,209979784,248595085,132000,3,line,,,,8603.0,,,,,
221,209979784,185496534,132000,3,line,,,,12801.0,,,,,
222,209979784,138280477,132000,3,line,,,,38074.0,,,,,
223,209979784,185341298,132000,3,line,,,,177.0,,,,,
224,180998541,171059868,132000,6,line,50,,,140253.0,,,,,
225,180998541,180995661,132000,3,line,,,,56419.0,,,,,
226,180998541,181010221,132000,6,line,,,,118607.0,,,,,Yes
227,151306638,171367521,132000,6,line,,,,30930.0,,,,,
