n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
403525677,101.160261206,12.7576865844,substation,0,,,,
107789748,101.156041296,12.7602561327,generator,0,,,,
243115930,98.9985284677,18.8115119174,substation,0,,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,,
196803560,99.0514208364,18.6520093764,substation,0,,,,
121651693,99.0085356373,18.7681123232,substation,0,,,,
234182441,99.0637863196,10.0156593527,substation,0,,,,
387737848,98.5942355582,9.74275475722,substation,0,,,,
401819198,102.756376972,17.8206190546,substation,0,,,,
369074502,102.624413989,17.9997135406,substation,0,,Phonetong Substation,,
401936576,99.6997935291,18.3344041405,substation,0,,,,
384689050,99.746286542,18.2916929053,generator,0,,,EGAT,
144455497,98.9447188096,18.7168198351,substation,0,,,,
381850832,98.5166294547,8.51353969326,substation,115000,,Phangnga,EGAT,Yes
381850842,98.3665012882,7.96075160149,substation,115000,,Phuket 2,EGAT,Yes
247613910,104.754564636,16.6282774319,sub_station,0,,,,
266095868,105.177810588,16.4358656267,substation,0,,,,
247443948,104.815643935,17.3663814126,sub_station,0,,,,
343025639,102.851673834,17.3743619613,substation,0,,,,
343034987,102.937634007,17.3504275233,substation,0,,,,
293324904,99.7478910256,18.2978290711,substation,0,,,,
403466241,100.529245089,14.815141677,substation,0,,,,
403481611,100.803185494,14.5833793837,substation,0,,,,
401936547,100.432447988,15.6029584823,substation,0,,,,
404544820,100.929408296,13.1262186667,substation,0,,,,
407739530,99.9588390284,13.7907046795,substation,0,,,,
195977249,100.188882817,13.7495742898,substation,0,,สถานีไฟฟ้าแรงสูง นครชัยศรี,,
199773788,99.8690546115,13.8530314923,substation,0,,,,
381823435,101.025218008,14.6035572249,substation,0,,,,
252757805,100.34470392,14.6123831993,substation,0,,,,
334185872,99.4986091697,14.126528877,substation,0,,,,
262815047,99.1322698461,14.4075107532,substation,0,,,,
404006545,100.842332498,13.4929847277,substation,0,,,,
403692059,100.994244055,13.5704069973,substation,0,,,,
250742034,99.5125048006,11.4228214003,substation,0,,,,
388836605,99.5079733751,11.406230666,substation,230000,,,,
404291501,101.066609579,13.4469501299,substation,0,,,,
155851424,101.025776864,13.5036807363,generator,0,,Bang Pakong Power Plant,,
404563246,101.082843237,14.6135904007,substation,0,,,,
176322698,100.780320309,14.231092139,plant,0,,Wang Noi Power Station,,
404572911,101.545066825,14.8075552265,plant,0,,,,
223601302,100.805270436,13.8131878613,substation,0,,,,
156592382,101.032963456,13.6260680088,substation,0,,,,
27828836,100.567818215,13.97540863,substation,230000,,,EGAT,
147606553,100.391539636,13.7110288356,substation,230000,,,EGAT,
199773777,100.341974232,13.9743640886,substation,230000,,,EGAT,Yes
199806286,100.511047179,13.8121562807,substation,0,,,,
408050988,100.292005816,13.6903538752,substation,0,,,,
301623867,100.423516379,13.6533706776,substation,0,,สถานีไฟฟ้าแรงสูง ธนบุรีใต้,,
26120059,100.556023235,13.6201738526,substation,230000,,,,
295988731,100.704200227,6.95671313736,substation,0,,Chana,,
244062167,100.490833108,6.96763698371,substation,0,,,,
381823390,100.778701512,14.2274876522,substation,230000,,,EGAT,Yes
403512774,100.612083386,14.198407696,substation,0,,,,
26238367,100.555642678,13.9088750815,substation,0,,,,
274223991,100.553296693,13.8270313196,substation,0,,,EGAT,
133318523,100.227884419,13.7314732503,substation,0,,,,
254460966,100.100312326,15.7056985556,substation,0,,,EGAT,
403504849,100.465896588,14.5824576616,substation,0,,,,
401998847,100.15720036,16.9380419538,substation,0,,,,
382334119,103.510083185,16.1244251898,substation,230000,,,EGAT,Yes
247878196,103.64815918,16.0780519705,substation,115000,,,,Yes
408425007,99.7427620967,13.5343674176,substation,0,,,,
387737843,99.7902182511,13.5043016481,substation,0,,,,
296560688,101.249198408,12.7880273424,substation,0,,,,
155847885,101.193937595,12.98746637,substation,0,,,,
404291513,101.544789136,13.8393001024,substation,0,,,,
64680223,100.661863769,13.628391657,substation,230000,,,EGAT,
345996520,100.689539019,13.6394919007,substation,0,,,,
324258748,100.452156229,6.71570793923,substation,0,,HVDC Thai -Mal,,
384684882,99.7368872858,18.2804120027,substation,0,,,,
232344443,99.8891510925,13.6030656057,generator,0,,โรงไฟฟ้าราชบุรี,,
64680159,100.602877242,13.7415790344,substation,0,,,,
64680187,100.684667744,13.7252045003,substation,0,,,EGAT,
362353140,99.8840131073,13.6039780525,substation,0,,,,
293324915,99.7480503331,18.2944404147,substation,0,,,,
242402501,101.161214719,12.6463769732,substation,0,,,,
362353137,99.8885634743,13.606626665,substation,0,,,,
261489769,99.666514587,13.6380909982,substation,500000,,,,
