n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
47633664,6.35802244345,45.2841968746,substation,250000;150000;63000;42000,,Poste électrique de Longefan,RTE,
148661113,6.54438994494,44.9558090728,substation,150000;20000,,Poste électrique de Serre-Barbin,RTE,
56998024,6.41825256156,45.6619143301,substation,400000;225000;63000,,Poste électrique dAlbertville,RTE,
208424341,6.31920707418,45.5267723233,substation,0,,Station Électrique de Randens,RTE,
81758476,6.32642326485,48.3537564906,substation,400000,,Poste électrique de Vincey,,
121066819,6.4388377794,47.9322713138,substation,0,,,,
99790222,0.58245606296,42.7931110521,substation,0,,,,
173602844,0.553650780373,42.7325717431,substation,0,,,,
121039314,0.392689514306,43.1131432735,substation,225000;150000;63000,,Poste électrique de Lannemezan,RTE,
173566958,0.734683156356,42.7374820765,sub_station,0,,Centrau de Benós,,
118400623,1.59732800623,42.8516052737,substation,225000;150000;63000,,Poste électrique de Tarascon,RTE,
119695089,1.91231280988,42.6891238093,substation,0,,,,
400287342,2.21312463244,42.7717684842,substation,0,,,,
36973630,2.85813636336,42.6958185515,substation,0,,,RTE,
96822819,0.0401225542083,43.2252100709,substation,225000;150000;63000,,Poste électrique de Bastillac,RTE,
147467591,-0.386086104318,43.2734855709,substation,0,,,,
208272092,7.13735269012,44.003555278,substation,0,,Poste de Bancairon,RTE,
121499607,5.77481325175,43.7835587212,substation,63000;150000;225000,,Poste électrique de Saint-Tulle,RTE,
148605353,6.61623179338,44.8660535468,substation,150000;63000;20000,,Poste électrique de Briançon,RTE,
148673138,6.55983854548,44.7911168347,substation,225000;63000,,Poste électrique de LArgentière la Bessée,RTE,
261596075,-0.10022708655,42.9978254559,substation,0,,,,
111769053,6.26781125676,44.469412437,substation,225000;63000,,Poste électrique de Serre-Ponçon,RTE,
240320185,0.171400981821,43.0282422568,substation,0,,,,
399314538,0.155521990873,43.0745716955,substation,0,,,,
259153311,3.38009174829,50.3269930045,station,0,,,,
82976238,3.33869818914,50.3171793984,substation,225000,,Poste électrique de Gros-Caillou,RTE,
194171589,7.58575935003,44.046700752,substation,0,,,,
146590045,7.18784898989,43.7187569137,substation,225000;150000;63000,,Poste électrique de Lingostière,RTE,
129440971,3.13898161876,50.3625281246,sub_station,225000,,Poste électrique de Dechy,EDF,
173829839,1.73419802096,42.5461557338,sub_station,0,,,,
146590044,1.79741636001,42.5884686028,substation,0,,Poste électrique de LHospitalet,,
259153315,3.23750271677,50.4659695558,substation,0,,,RTE,
318502246,4.5039229022,46.7470064465,substation,400000;225000;150000;63000;20000,,Poste électrique Henri-Paul,,
142456175,3.48785146921,46.841824667,substation,0,,,,
157504230,4.44978922749,46.7903696493,substation,0,,,,
121085952,5.79576391777,49.5666050551,substation,380000;220000,,Aubange,Elia,
118591672,5.75990168417,49.54110262,substation,225000,,,RTE,
47660196,7.51924282386,47.7741670823,substation,0,,Poste électrique de Ottmarsheim,,
44357629,7.52537327817,47.8140457595,substation,225000,,Poste électrique de Chalampe,,
406691575,7.51704858223,47.6542422698,substation,0,,,,
57038202,6.11912629332,46.2372931526,substation,0,,,,
57038204,6.11575668337,46.234592404,substation,0,,,,
96768001,2.59954784894,48.7764952873,substation,225000,,,RTE,
27266058,2.6482418272,48.7788470014,substation,400000;225000,,Poste électrique de Morbras,RTE,
111458307,-0.887473112444,44.0130799735,substation,400000;225000;63000,,Poste électrique de Cantegrit,RTE,
113020114,-0.518353686723,43.8597597366,substation,225000,,,,
111414142,-0.595459643135,43.3858866546,substation,400000;225000;63000,,Poste électrique de Marsillon,RTE,
152778326,-0.872100142477,43.8363574025,substation,225000;63000,,,RTE,
111558561,-1.44124571167,43.4844803728,substation,0,,Poste électrique de Mouguerre,,
105783300,1.62088879767,46.4581675005,substation,400000,,Poste électrique de Éguzon,RTE,
105783305,1.61804438766,46.4564386612,substation,225000;90000,,Poste électrique de Éguzon,RTE,
90032133,7.68365721192,48.530410068,substation,225000,,Poste électrique de Graffenstaden,RTE,
214483816,7.51904829074,48.3568565894,substation,400000;225000,,Scheer,RTE,
146402375,7.58736068737,48.1536988864,substation,0,,Poste électrique de Marckolsheim,,
48815655,7.79912931921,48.5246632358,substation,0,,Poste électrique de Port-du-Rhin,,
118086309,7.5264519974,48.6118490245,substation,400000;225000,,Poste électrique de Marlenheim,RTE,
146402374,7.72462269431,48.799122537,substation,0,,Poste électrique de Batzendorf,,
117537715,7.73106071618,48.6449909837,substation,0,50,Poste électrique de Reichstett,RTE,
375282547,7.6868112338,48.5246617791,substation,0,,,SNCF Réseau,
139834740,1.46365518541,45.9255447669,substation,225000;90000,,Poste de Maureix,RTE,
138108387,1.80341286146,45.8018550897,substation,0,,Poste de Peyrat-le-Château,,
70452467,2.60422966466,46.3202213588,substation,225000,,Poste électrique de Montluçon,RTE,
104008765,2.356663149,45.3940449662,substation,225000;90000,,,RTE,
138278216,1.9210821891,46.1967128905,substation,0,,,,
152120009,0.576696592021,46.8447522741,substation,0,,,,
34198056,1.80330649166,47.875584084,substation,400000;225000;90000;20000,,Poste électrique de Chaingy,RTE,
42015753,1.57944984561,47.7207983081,plant,0,,Centrale nucléaire de Saint-Laurent des Eaux,EDF,
137474877,2.1893421234,45.953624858,substation,0,,Poste dAubusson,RTE,
177375243,2.29463683551,51.0378123863,substation,0,,,,
129580564,2.27916877975,51.0123426921,substation,225000,,Poste électrique de Grande-Synthe,,
138149900,1.37197883351,49.1275605138,substation,225000,,Poste électrique de Saint-Pierre-de-Bailleul,RTE,
445977826,1.75985348794,48.9703433427,plant,0,,Centre de Production Thermique de Porcheville,EDF,
147580956,1.04022666391,49.316500828,substation,225000,,Poste électrique de Cléon,,
122923029,4.07591657289,46.6096582917,substation,225000;63000,,Gueugnon (EGD),RTE,
251659940,4.35159266023,46.6683112573,substation,0,,,,
122563466,4.71101014255,46.6295782939,substation,400000;225000,,Poste électrique de Grosne,RTE,
24025291,5.02327540128,45.8384914565,substation,400000;225000;63000,,Poste électrique de La Boisse,RTE,
131645796,4.72381124126,46.009533895,substation,225000;63000,,,RTE,
147580954,6.47888805125,46.3303245849,substation,225000;63000,,Poste électrique de Allinges,RTE,
100500802,6.29515504163,46.0846292919,substation,400000;225000;63000,,Poste électrique de Cornier,RTE,
83726363,2.68918886018,44.7792538308,substation,400000;225000;63000,,Poste électrique de Rueyres,RTE,
398618755,2.68282965318,44.7680775804,substation,0,,Brommat 1,EDF,
135855287,3.07241480528,44.9214634603,substation,225000,,Poste électrique de Grandval,,
135855289,3.0030205996,44.8912373939,plant,0,,Centrale de Lanau,EDF,
136326140,3.28153879033,44.791532636,substation,0,,,,
80719004,2.80440804128,44.0512097499,substation,225000;63000,,Poste électrique de Saint-Victor,ERDF,
262121267,2.74042229904,44.8288625994,substation,225000,,Poste électrique de Sarrans,EDF,
147174230,2.2276906655,44.5407925823,substation,225000,,Poste électrique de Godin,,
147174236,2.58354135802,44.6618981938,substation,225000;63000,,Poste électrique de Lardit,,
119048154,0.993180190777,49.3505019073,substation,225000,,Poste électrique de Grand-Couronne,,
147580959,2.93056189045,50.4501273823,substation,225000,,Poste électrique de Courrières,,
85605950,3.08228059256,50.52484044,substation,400000;225000,,Poste électrique de Avelin,RTE,
169393427,2.86472881574,50.4683344226,substation,0,,,,
147580961,6.09792944462,46.0407143027,substation,225000;20000,,Poste électrique de Cruseilles,Enedis,
83293593,5.80462621981,46.0558905534,substation,400000;225000;150000;63000,,Poste électrique de Génissiat,RTE,
147580963,2.84634541067,50.5091930671,substation,225000,,Poste électrique de Douvrin,,
147398274,2.93701817177,50.5533389734,substation,225000,,Poste électrique de Les Ansereuilles,,
108099621,2.15465127876,51.0002196395,substation,225000,,,,
85203486,2.16032269527,50.949106332,substation,400000;225000,,Poste électrique de Warande,RTE,
108099552,2.16066113846,51.0005526313,substation,0,,,,
147580968,6.48837978339,45.5158192159,substation,63000;225000,,Poste électrique de Grand-Coeur,RTE,
183105308,6.55428383267,45.493951562,substation,225000;63000,,Poste électrique de Contamine,RTE,
273536873,6.7913007544,45.6196562859,substation,225000;63000,,Poste électrique de Malgovert,RTE,
56997464,6.4433924421,45.6446953714,substation,400000;225000,,Poste électrique de La Bathie,EDF,
103921705,4.70338643653,44.086353696,substation,225000;63000,,Poste électrique de LArdoise,RTE,
135430776,4.71378481385,44.1521863657,substation,0,,,EDF,
110086345,4.6428498577,44.0149754183,substation,400000;225000,,Poste électrique de Tavel,,
39389229,6.66359515744,47.3672596146,substation,400000;225000,,Poste électrique de Mambelin,RTE,
89158123,6.84786593207,47.5073931631,substation,225000,,Poste électrique de Étupes,,
120522167,6.16372798353,47.6528851975,substation,0,,Poste électrique de Pusy,,
39575812,6.35753014844,46.9116518456,substation,225000;63000,,Poste électrique de Pontarlier,RTE,
237314095,-4.26127874239,48.3895270316,substation,225000,,,EDF,
146695955,-4.1933674299,48.4439583291,substation,400000;225000,,Poste électrique de La Martyre,RTE,
95409416,-4.05351127688,48.0171712486,substation,225000;63000,,Poste électrique de Squividan,RTE,
237314052,-4.26238567609,48.389602708,plant,0,,Centrale thermique de Dirinon,EDF,
122411058,5.90755665842,46.7582476583,substation,225000;63000;20000,,Poste électrique de Champagnolle,RTE,
446406711,6.08176696637,48.8678412245,substation,400000;225000,,,EDF,
81665271,6.09758491797,48.8572860372,substation,400000;225000,,Poste électrique de Bezaumont,RTE,
146776120,6.26349609038,48.636476613,substation,0,,,,
125003945,6.23482371658,48.6488211997,substation,225000,,Poste électrique Laneuveville,,
147580985,6.56079434918,46.0797868605,substation,225000;63000,,Poste électrique de Pressy,,
182816228,6.72498283148,45.9159686355,substation,225000,,Poste électrique de Passy,RTE,
82741307,2.43286302748,49.0338563345,substation,400000;225000,,Poste électrique de Plessis-Gassot,RTE,
81936734,2.33845564816,48.9252339229,substation,0,,Poste Seine,,
82741335,2.40777114425,49.0107852727,substation,0,,Poste Électrique de Villier-le-Bel,,
129662180,2.30651924293,48.9464242434,substation,0,,,,
82746777,2.44207334552,49.0092609471,substation,0,,Poste Électrique de Gonesse,,
188144496,2.5755996114,48.9761386082,substation,400000;225000,,Poste électrique de Sausset,RTE,
118216361,2.6747153734,49.3112226442,substation,225000;63000,,Poste électrique de Moru,,
118216358,2.84097049644,49.4349512941,substation,225000;63000,,Poste électrique de Compiègne,RTE,
85339874,2.52902088956,49.0910341895,substation,0,,,,
41722745,2.0592647317,49.0489510102,substation,400000;225000,50,Poste électrique de Cergy,RTE,
32876673,2.20008985862,48.9510872102,substation,225000,,Poste Électrique de Cormeilles,RTE,
186825464,2.1478749141,49.0499117422,substation,225000;20000,,Poste Électrique de Haute-Borne,Enedis,
156230117,2.44144036216,49.2432164608,substation,225000;63000;20000,,Poste Électrique de Carrières,RTE,
146744609,2.3773138227,49.1829927475,substation,225000;20000,,Poste Électrique de Gouvieux,ERDF,
138973246,1.59678623014,47.1917666101,substation,225000,,Poste électrique de Varennes-Sur-Fouzon,,
23286313,2.2603562357,47.1019372891,substation,400000;225000;90000,,Poste électrique de Marmagne,RTE,
117421453,1.72643753151,46.8118672915,substation,0,,Poste Électrique de Mousseaux,,
85047359,2.25900624917,49.2175805876,substation,400000;225000,,Poste électrique de Terrier,RTE,
147580978,2.10056727102,49.3920180352,substation,225000;63000,,Poste électrique de Patis,RTE,
147580994,5.84191457968,45.8873742717,substation,225000,,Poste électrique de Serrières,RTE,
