l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,47633664,148661113,150000,3,line,,Longefan Serre-Barbin-Zcol,RTE,48519.0,,,,,
2,56998024,208424341,150000,3,line,,,RTE,19135.0,,,,,
3,81758476,121066819,150000,3,line,,,RTE,49665.0,,,,,
4,99790222,173602844,150000,,line,,,RTE,8398.0,,,,,
5,99790222,121039314,150000,3,line,,,RTE,49947.0,,,,,
6,99790222,173566958,150000,,line,,,RTE,17569.0,,,,,
7,118400623,119695089,150000,,line,,,RTE,35403.0,,,,,
8,400287342,119695089,150000,,line,,,RTE,41902.0,,,,,
9,400287342,36973630,400000,6,line,,,RTE,55221.0,,,,,Yes
10,96822819,147467591,150000,3,line,,,RTE,53872.0,,,,,
11,96822819,121039314,150000,3,line,,,RTE,37023.0,,,,,
12,208272092,121499607,150000,3,line,,-150kV Bancairon - Castellane (constr 1927) - dér.Entrevaux (1983),RTE,99162.0,,,,,Yes
13,148605353,148673138,150000,,line,,,RTE,13073.0,,,,,
14,148605353,148661113,150000,,line,,,RTE,13889.0,,,,,
15,261596075,147467591,150000,3,line,,,RTE,40309.0,,,,,
16,111769053,148673138,150000,3,line,,,,55402.0,,,,,
17,240320185,399314538,150000,,line,,,RTE,5660.0,,,,,
18,259153311,82976238,150000,3,line,,,RTE,3595.0,,,,,
19,194171589,146590045,150000,3,line,,,RTE,49767.0,,,,,
20,129440971,82976238,150000,3,line,,,RTE,15722.0,,,,,
21,173829839,146590044,150000,6,line,,,,7496.0,,,,,Yes
22,121039314,399314538,150000,3,line,,,RTE,20413.0,,,,,
23,259153315,82976238,150000,3,line,,,RTE,23153.0,,,,,
24,318502246,142456175,150000,3,line,,,RTE,16514.0,,,,,
25,318502246,157504230,150000,3,line,,,RTE,7255.0,,,,,
26,121085952,118591672,220000,3,line,50,,,4449.0,,,,,
27,47660196,44357629,220000,6,line,,,,5004.0,,,,,Yes
28,47660196,406691575,220000,3,line,,,,13996.0,,,,,
29,57038202,57038204,220000,3,cable,,Ligne 220 kV en souterrain,,398.0,,,,,
30,96768001,27266058,225000,6,line,,,RTE,3419.0,,,,,Yes
31,111458307,113020114,225000,3,line,,,RTE,38198.0,,,,,
32,111458307,111414142,225000,6,line,,,RTE,76808.0,,,,,Yes
33,111458307,152778326,225000,6,line,,,RTE,20408.0,,,,,Yes
34,111458307,111558561,225000,3,line,,,RTE,10780.0,,,,,
35,105783300,105783305,225000,3,line,,,RTE,157.0,,,,,
36,90032133,214483816,225000,6,line,,,,23622.0,,,,,Yes
