l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
1,108562208,108549128,220000,3,line,,,,17013.0,,,,,
2,179675621,179679495,220000,3,line,,,,80727.0,,,,,
3,179675621,121729808,220000,3,line,,,,46883.0,,,,,
4,89084614,191928540,220000,6,line,,,,74263.0,,,,,
5,89084614,88691550,220000,6,line,,,,109896.0,,,,,
6,191928540,191928543,220000,6,line,,,,73922.0,,,,,
7,179096206,179309597,220000,3,line,,,,9997.0,,,,,
8,121729808,122245237,220000,3,line,,,,92615.0,,,,,
9,121729808,315321465,220000,3,line,,,,111009.0,,,,,
10,198090281,179309597,220000,3,line,,,,95091.0,,,,,
11,179315356,88691550,220000,6,line,,,,157198.0,,,,,
12,179315356,122245237,220000,3,line,,,,33841.0,,,,,Yes
