n_id,longitude,latitude,type,voltage,frequency,name,operator,not_accurate
293152176,30.4983686036,51.8738273372,substation,0,,,,
288873859,30.2720067482,51.8097693396,substation,0,,,,
289692683,30.7898332096,51.9437638443,substation,0,,,,
201916933,24.2488525731,53.5660665581,substation,0,,,,
89723141,24.2301582659,53.6777990854,substation,0,,ПС-110 кВ Лозы,,
235777846,24.7202298998,53.6015423418,substation,0,,,,
222762508,27.1650609939,53.689089111,substation,0,,,,
231764788,27.3243125327,53.7370472129,substation,110000,,ПС Фаниполь,РУП Минскэнерго,
157204623,27.3477968027,53.7400527921,substation,110000,,,,
314244319,24.9608475412,52.1444352257,substation,0,,,,
314243562,24.667289634,52.2140169833,substation,0,,,,
429035693,27.6129755723,53.7574116825,substation,0,,"ПС ""Островы""",,
296016627,27.5974131725,53.7841274874,substation,0,,"ПС ""Мачулищи""",,
296016647,27.6450648476,53.7733315771,substation,0,,"ПС ""Кожзавод""",,
262743896,27.4510481276,53.8093417915,substation,0,,,,
59099213,27.4537863432,53.8463250094,substation,0,,"ПС ""Юго-Запад""",,
41194024,27.5089904656,53.8405869295,substation,0,,"ПС ""Курасовщина""",,
429148816,27.5734755655,53.8301675509,substation,0,,"ПС ""Кока-кола""",,
310063635,26.4235502346,54.4833165121,substation,0,,,,
310178136,26.3709046138,54.4661784376,substation,0,,,,
299173918,25.0693553364,53.0631602971,substation,0,,,,
240568902,24.7978676455,53.1504972521,sub_station,0,,,,
287228165,31.088770144,52.4544703396,substation,0,,,,
287231999,31.0515781681,52.470711032,substation,0,,,,
130795400,30.9916633693,52.484801617,substation,0,,,,
237040560,24.7408835844,53.5438724465,sub_station,0,,,,
302900770,28.2632814075,53.052126517,substation,0,,,,
314058489,28.4336886323,53.0338839856,substation,0,,,,
288873564,30.1731201561,51.8549217597,substation,0,,,,
299211088,30.003441277,51.9042748973,substation,0,,,,
224125485,27.833489515,53.7791141761,substation,0,,"ПС ""Волма""",,
429056529,27.7814127589,53.8354076842,substation,0,,"ПС ""Сосны""",,
429361631,27.6409378366,53.8848921115,substation,0,,,,
24423222,27.648857154,53.8804555352,plant,0,,ТЭЦ-3,,
151029302,27.5666769956,53.9295760083,substation,0,,ПС-17 «Сторожёвская»,,
229441506,27.5299049833,53.9955806178,substation,330000,50,,,
40551785,27.6795421382,53.9528838161,substation,0,,"ПС ""Уручье""",,
154490102,27.6142635132,53.9423443181,generator,0,,,,
429372327,27.6642683623,53.8865414215,substation,0,,"ПС ""Дражня""",,
60131045,27.701432386,53.9282383904,substation,0,,"ПС ""Озерище""",,
300409914,27.514890204,52.9989616424,substation,0,,,,
364529034,27.6047509959,52.9922121117,substation,0,,,,
247791024,27.4763419198,53.0185863425,substation,0,,"ПС 330кВ ""Слуцк""",Слуцкие электросети,
171987005,26.5408055237,55.602122066,substation,0,,,,Yes
173944054,26.642722405,55.4013791432,substation,0,,,,
429929483,28.2085437766,54.0476550973,substation,0,,,,
301229003,28.1241801123,54.0298008395,substation,0,,,,
299231301,26.14470345,54.696492536,substation,0,,,,
299226289,25.9519128623,54.6205987022,substation,0,,,,
245414984,26.7498306745,54.3022427097,substation,0,,"Подстанция 330 кВ ""Молодечно""",,
263648841,30.4747597589,52.3068576157,substation,0,,,,
268654506,30.6025813036,52.1526763236,substation,0,,,,
302733791,30.9819853914,52.4574841676,substation,0,,,,
302726346,30.930585474,52.4618233506,substation,110000,50,Северная,,
302734379,30.9823385673,52.4496400554,substation,0,,,,
288267865,30.4023623521,52.9281674762,substation,0,,,,
295775463,30.6022785473,52.9816451968,substation,0,,,,
289493943,30.8767620158,52.9220170535,substation,0,,РЭС,,
289501225,30.8132457261,52.8286487454,substation,0,,,,
255157340,22.996920155,52.2845560309,substation,0,,"Stacja elektroenergetyczna 110kV ""Hołowczyce""",,
110512784,23.193402947,52.1887390839,substation,0,,"Stacja elektroenergetyczna 110kV ""Janów Podlaski""",,
310325079,27.1179027658,53.1461332086,substation,0,,ПС 110 кВ «Копыль»,Копыльский район электрических сетей,
300419261,27.3095151496,53.0018932988,substation,0,,"ПС 110 кВ ""Терасполь""",Слуцкие электрические сети,
300416246,27.0416330713,53.0373885722,substation,0,,,,
299972194,27.27107691,54.2093641325,substation,0,,,,
299960721,27.2277573368,54.151882158,substation,0,,,,
417002086,27.6708804824,53.8374921688,substation,110000,,"ПС ""Корзюки""",,
429868839,27.6833728245,53.8195121974,substation,0,,,,
429740435,27.6493185008,53.8554207304,substation,0,,,,
429148815,27.6689799076,53.8520415169,substation,0,,,,
301876843,30.5099257936,54.4541680917,substation,0,,,,
296183529,30.4507427083,54.480712155,substation,0,,,,
192882077,30.175434386,54.5637087241,substation,0,,,,
222038644,27.9185781279,53.6395146517,substation,0,,"ПС ""Свислочь""",,
429035699,27.9393508306,53.6097848706,substation,0,,"ПС ""СУ ТЭЦ-5""",,
226901999,27.8608984523,53.6076163684,substation,0,,"ПС ""Руденск""",,
299263429,27.8767802147,53.5934930461,substation,0,,,,
