n_id,longitude,latitude,type,voltage,frequency,name,operator
148063170,-82.3307036575,23.1180308413,substation,110000,60,,voltage
146972172,-82.2975599847,23.0894998901,substation,110000,,Power Plant,way_area
148063487,-82.3561221886,23.1184975071,substation,110000,,,barrier
146977090,-81.9213451426,23.1451639378,substation,110000,60,,voltage
38491193,-81.9906095891,23.1510696219,substation,220000-110000,,,
38493796,-82.3875802544,23.0778442551,substation,110000,,Planta Naranjito,
38489593,-82.449846998,23.0514259429,substation,110000,,,source
147108133,-81.5893858403,23.0012293371,substation,220000-110000,60,,voltage
284081758,-81.3586684238,23.0651904842,substation,110000,,,
38491455,-82.2208432074,23.0393096891,substation,220000-110000,,,
147580686,-75.5951992694,20.727312509,substation,110000,60,,voltage
171555418,-75.5956882631,20.7281800777,generator,None,,"Termoeléctrica de Felton ""Lidio Ramón López""",
147558181,-75.9542680936,20.6298525807,substation,220000,60,,
147669998,-81.9509897409,23.1581265001,generator,None,60,Termoeléctrica de Santa Cruz del Norte,voltage
284081757,-81.215279526,23.035272115,substation,110000,60,,
38668448,-74.8578900465,20.6175884406,substation,None,,,
147037089,-77.3016279476,21.5370653046,substation,220000,60,,voltage
147156670,-77.2723646652,21.5653151993,substation,None,60,,voltage
353352034,-82.7466034243,23.019824395,substation,220000,,,
88674172,-83.636111001,22.4230177868,substation,220000-110000,,,
38489261,-82.4240547973,23.0445312137,substation,220000-110000,60,,voltage
38538083,-82.2832526322,23.0395713525,substation,220000,,,voltage
147108772,-81.5318857806,23.1016409087,substation,220000,60,,name
148238360,-80.441683426,22.1916846719,substation,220000-110000,60,,voltage
198221653,-80.016892087,22.4401746971,substation,220000-110000,60,,
318881388,-75.8744635006,19.9978550977,substation,220000,60,,
147518032,-76.5821281375,20.3868698799,substation,None,60,,
